년월,항공사(ICAO),항공사(IATA),항공사명,국제_국내,공항,도착_출발,정기_부정기,여객_화물,유임승객(명),무임승객(명),환승객(명),직화물(kg),환적화물(kg),우편물(kg),수하물(kg)
Jan-24,AAL,AA,아메리칸항공,국제,DFW,도착,정기,여객,5870,30,1390,61548,0,13924,179338
Jan-24,AAL,AA,아메리칸항공,국제,DFW,출발,정기,여객,5582,19,2755,284832,0,33029,194641
Jan-24,AAR,OZ,아시아나항공,국내,CJU,도착,부정기,여객,846,6,0,0,0,0,4228
Jan-24,AAR,OZ,아시아나항공,국제,ALA,도착,정기,여객,1129,10,582,15315,2275,0,28211
Jan-24,AAR,OZ,아시아나항공,국제,ALA,출발,정기,화물,0,0,0,36610,32274,0,0
Jan-24,AAR,OZ,아시아나항공,국제,ALA,출발,정기,여객,1244,8,606,120533,44912,2461,40264
Jan-24,AAR,OZ,아시아나항공,국제,ANC,도착,정기,화물,0,0,0,89752,22717,0,0
Jan-24,AAR,OZ,아시아나항공,국제,ANC,출발,정기,화물,0,0,0,3586,0,0,0
Jan-24,AAR,OZ,아시아나항공,국제,ATL,도착,정기,화물,0,0,0,714910,284750,0,0
Jan-24,AAR,OZ,아시아나항공,국제,ATL,출발,정기,화물,0,0,0,214668,78764,0,0
Jan-24,AAR,OZ,아시아나항공,국제,ATL,출발,부정기,화물,0,0,0,26620,14749,0,0
Jan-24,AAR,OZ,아시아나항공,국제,BCN,도착,정기,여객,3658,3,61,114238,77607,0,63884
Jan-24,AAR,OZ,아시아나항공,국제,BCN,출발,정기,여객,3754,3,64,67388,51534,0,59809
Jan-24,AAR,OZ,아시아나항공,국제,BKI,도착,부정기,여객,9049,14,4,0,0,0,118192
Jan-24,AAR,OZ,아시아나항공,국제,BKI,출발,부정기,여객,9013,13,2,0,0,0,104944
Jan-24,AAR,OZ,아시아나항공,국제,BKK,도착,정기,화물,0,0,0,102665,14880,0,0
Jan-24,AAR,OZ,아시아나항공,국제,BKK,도착,정기,여객,14506,24,1815,464888,62827,0,303483
Jan-24,AAR,OZ,아시아나항공,국제,BKK,도착,부정기,화물,0,0,0,83722,706,0,0
Jan-24,AAR,OZ,아시아나항공,국제,BKK,도착,부정기,여객,2494,0,2,0,0,0,36025
Jan-24,AAR,OZ,아시아나항공,국제,BKK,출발,정기,화물,0,0,0,38609,19410,0,0
Jan-24,AAR,OZ,아시아나항공,국제,BKK,출발,정기,여객,14593,27,2913,174510,37508,2643,323159
Jan-24,AAR,OZ,아시아나항공,국제,BKK,출발,부정기,화물,0,0,0,7565,764,0,0
Jan-24,AAR,OZ,아시아나항공,국제,BKK,출발,부정기,여객,3043,0,3,0,0,0,37932
Jan-24,AAR,OZ,아시아나항공,국제,BRU,도착,정기,화물,0,0,0,770910,155509,0,0
Jan-24,AAR,OZ,아시아나항공,국제,BRU,출발,정기,화물,0,0,0,3306,2887,0,0
Jan-24,AAR,OZ,아시아나항공,국제,CAN,도착,정기,화물,0,0,0,1136277,953238,1445,0
Jan-24,AAR,OZ,아시아나항공,국제,CAN,도착,정기,여객,4250,19,1883,9327,1595,5320,122503
Jan-24,AAR,OZ,아시아나항공,국제,CAN,출발,정기,여객,3764,22,2044,11713,2608,0,94878
Jan-24,AAR,OZ,아시아나항공,국제,CDG,도착,정기,여객,5765,12,521,191831,26818,28,119735
Jan-24,AAR,OZ,아시아나항공,국제,CDG,출발,정기,여객,6166,5,617,112834,67770,8266,125373
Jan-24,AAR,OZ,아시아나항공,국제,CEB,도착,정기,여객,3922,39,1251,0,0,0,82118
Jan-24,AAR,OZ,아시아나항공,국제,CEB,출발,정기,여객,4432,45,708,192,10,0,74864
Jan-24,AAR,OZ,아시아나항공,국제,CGK,도착,정기,여객,6244,29,488,75192,19710,7586,111943
Jan-24,AAR,OZ,아시아나항공,국제,CGK,출발,정기,여객,7356,25,781,218849,59433,3380,178803
Jan-24,AAR,OZ,아시아나항공,국제,CGQ,도착,정기,여객,1916,12,443,0,0,0,40361
Jan-24,AAR,OZ,아시아나항공,국제,CGQ,출발,정기,여객,2243,8,297,40,0,0,40427
Jan-24,AAR,OZ,아시아나항공,국제,CNX,도착,부정기,여객,5162,12,153,0,0,0,92841
Jan-24,AAR,OZ,아시아나항공,국제,CNX,출발,부정기,여객,5354,6,151,0,0,0,89645
Jan-24,AAR,OZ,아시아나항공,국제,CRK,도착,정기,여객,3620,6,878,0,0,0,90985
Jan-24,AAR,OZ,아시아나항공,국제,CRK,출발,정기,여객,3825,4,956,149,0,0,104101
Jan-24,AAR,OZ,아시아나항공,국제,CSX,도착,정기,여객,1340,1,212,27240,0,27147,21751
Jan-24,AAR,OZ,아시아나항공,국제,CSX,출발,정기,여객,1362,4,277,1541,6,0,17453
Jan-24,AAR,OZ,아시아나항공,국제,CTS,도착,정기,여객,8486,13,1245,0,0,0,145506
Jan-24,AAR,OZ,아시아나항공,국제,CTS,출발,정기,여객,9392,12,527,0,0,0,116477
Jan-24,AAR,OZ,아시아나항공,국제,DAD,도착,정기,여객,7923,26,514,17034,6401,0,123260
Jan-24,AAR,OZ,아시아나항공,국제,DAD,도착,부정기,여객,1426,0,0,0,0,0,17264
Jan-24,AAR,OZ,아시아나항공,국제,DAD,출발,정기,여객,8001,30,768,16317,9804,0,113522
Jan-24,AAR,OZ,아시아나항공,국제,DAD,출발,부정기,여객,1603,0,0,0,0,0,14670
Jan-24,AAR,OZ,아시아나항공,국제,DEL,도착,정기,여객,1554,1,1739,13045,2187,0,86303
Jan-24,AAR,OZ,아시아나항공,국제,DEL,출발,정기,여객,2320,7,616,58421,17311,0,48065
Jan-24,AAR,OZ,아시아나항공,국제,DFW,출발,정기,화물,0,0,0,461536,295586,0,0
Jan-24,AAR,OZ,아시아나항공,국제,DLC,도착,정기,여객,1633,0,648,95129,15804,68856,35103
Jan-24,AAR,OZ,아시아나항공,국제,DLC,출발,정기,여객,1132,1,312,40434,15631,0,20716
Jan-24,AAR,OZ,아시아나항공,국제,DLI,도착,부정기,여객,963,0,0,0,0,0,15797
Jan-24,AAR,OZ,아시아나항공,국제,DLI,출발,부정기,여객,1226,1,0,0,0,0,18945
Jan-24,AAR,OZ,아시아나항공,국제,FCO,도착,정기,여객,5417,3,278,88296,17752,0,102184
Jan-24,AAR,OZ,아시아나항공,국제,FCO,출발,정기,여객,5830,6,294,106206,102001,0,99100
Jan-24,AAR,OZ,아시아나항공,국제,FRA,도착,정기,화물,0,0,0,1498532,237811,0,0
Jan-24,AAR,OZ,아시아나항공,국제,FRA,도착,정기,여객,5340,7,286,260880,66449,0,108923
Jan-24,AAR,OZ,아시아나항공,국제,FRA,출발,정기,화물,0,0,0,883212,683428,0,0
Jan-24,AAR,OZ,아시아나항공,국제,FRA,출발,정기,여객,7050,22,638,242259,180549,15688,153594
Jan-24,AAR,OZ,아시아나항공,국제,FUK,도착,정기,여객,19672,112,875,147318,75533,0,245781
Jan-24,AAR,OZ,아시아나항공,국제,FUK,출발,정기,여객,19520,102,1424,62666,28602,5917,202618
Jan-24,AAR,OZ,아시아나항공,국제,HAN,도착,정기,화물,0,0,0,1141996,760627,0,0
Jan-24,AAR,OZ,아시아나항공,국제,HAN,도착,정기,여객,15598,33,998,400527,153150,0,269014
Jan-24,AAR,OZ,아시아나항공,국제,HAN,출발,정기,화물,0,0,0,2349653,538111,0,0
Jan-24,AAR,OZ,아시아나항공,국제,HAN,출발,정기,여객,16982,111,1656,263337,125506,5792,299643
Jan-24,AAR,OZ,아시아나항공,국제,HGH,도착,정기,여객,2919,7,507,101378,49055,6931,54245
Jan-24,AAR,OZ,아시아나항공,국제,HGH,출발,정기,여객,2360,1,154,7279,0,0,33830
Jan-24,AAR,OZ,아시아나항공,국제,HKG,도착,정기,화물,0,0,0,3434495,3285079,0,0
Jan-24,AAR,OZ,아시아나항공,국제,HKG,도착,정기,여객,13401,35,1696,625787,385484,0,198944
Jan-24,AAR,OZ,아시아나항공,국제,HKG,출발,정기,화물,0,0,0,733249,102151,4120,0
Jan-24,AAR,OZ,아시아나항공,국제,HKG,출발,정기,여객,14917,36,1245,146997,52028,6926,195637
Jan-24,AAR,OZ,아시아나항공,국제,HND,도착,정기,여객,3432,4,659,0,0,0,48016
Jan-24,AAR,OZ,아시아나항공,국제,HND,도착,부정기,여객,534,2,9,0,0,0,6473
Jan-24,AAR,OZ,아시아나항공,국제,HND,출발,정기,여객,3455,7,526,1209,0,0,47845
Jan-24,AAR,OZ,아시아나항공,국제,HNL,도착,정기,여객,3885,21,1681,7308,7308,0,128864
Jan-24,AAR,OZ,아시아나항공,국제,HNL,출발,정기,여객,4458,17,1287,129902,36766,2254,106055
Jan-24,AAR,OZ,아시아나항공,국제,HRB,도착,정기,여객,1797,10,510,666,0,666,41249
Jan-24,AAR,OZ,아시아나항공,국제,HRB,출발,정기,여객,2882,12,384,0,0,0,56149
Jan-24,AAR,OZ,아시아나항공,국제,IST,도착,정기,여객,3389,2,80,128525,60655,0,60057
Jan-24,AAR,OZ,아시아나항공,국제,IST,출발,정기,여객,3536,4,47,107325,59727,951,57054
Jan-24,AAR,OZ,아시아나항공,국제,JFK,도착,정기,여객,3842,21,4002,41407,13998,0,251218
Jan-24,AAR,OZ,아시아나항공,국제,JFK,출발,정기,화물,0,0,0,1192458,910044,96,0
Jan-24,AAR,OZ,아시아나항공,국제,JFK,출발,정기,여객,5529,20,3071,163748,121787,26660,237688
Jan-24,AAR,OZ,아시아나항공,국제,KIX,도착,정기,화물,0,0,0,258206,175399,0,0
Jan-24,AAR,OZ,아시아나항공,국제,KIX,도착,정기,여객,20657,72,1952,469223,269021,0,277736
Jan-24,AAR,OZ,아시아나항공,국제,KIX,도착,부정기,화물,0,0,0,71545,37965,0,0
Jan-24,AAR,OZ,아시아나항공,국제,KIX,도착,부정기,여객,359,1,4,8583,8583,0,4208
Jan-24,AAR,OZ,아시아나항공,국제,KIX,출발,정기,화물,0,0,0,96161,62612,10360,0
Jan-24,AAR,OZ,아시아나항공,국제,KIX,출발,정기,여객,20362,59,2236,300433,120503,38097,247209
Jan-24,AAR,OZ,아시아나항공,국제,KIX,출발,부정기,화물,0,0,0,23925,13003,2354,0
Jan-24,AAR,OZ,아시아나항공,국제,KIX,출발,부정기,여객,518,1,7,0,0,0,4764
Jan-24,AAR,OZ,아시아나항공,국제,KMI,도착,정기,여객,1898,7,26,0,0,0,37217
Jan-24,AAR,OZ,아시아나항공,국제,KMI,출발,정기,여객,2062,2,26,200,0,0,39422
Jan-24,AAR,OZ,아시아나항공,국제,LAS,도착,부정기,여객,678,0,9,0,0,0,11455
