년도,월,항공사(ICAO),항공사(IATA),항공사명,국제_국내,노선,국가,공항,도착_출발,정기_부정기,여객_화물,운항(편),유임승객(명),무임승객(명),환승객(명),직화물(kg),환적화물(kg),우편물(kg),수하물(kg)
2025,01,AAL,AA,아메리칸항공,국제,미주,미국,DFW,도착,정기,여객,29,5374,15,959,17112,0,10757,151120
2025,01,AAL,AA,아메리칸항공,국제,미주,미국,DFW,출발,정기,여객,29,4762,22,2938,226482,0,20853,160667
2025,01,AAR,OZ,아시아나항공,국내,한국,한국,CJU,도착,부정기,여객,1,232,0,0,0,0,0,1305
2025,01,AAR,OZ,아시아나항공,국제,일본,일본,AKJ,도착,정기,여객,17,2172,6,85,0,0,0,29890
2025,01,AAR,OZ,아시아나항공,국제,일본,일본,AKJ,출발,정기,여객,17,2436,5,100,0,0,0,29428
2025,01,AAR,OZ,아시아나항공,국제,일본,일본,CTS,도착,정기,여객,35,7836,15,1388,0,0,0,137087
2025,01,AAR,OZ,아시아나항공,국제,일본,일본,CTS,출발,정기,여객,35,8420,19,884,0,0,0,111829
2025,01,AAR,OZ,아시아나항공,국제,일본,일본,FUK,도착,정기,여객,93,21241,146,845,98096,54208,0,271851
2025,01,AAR,OZ,아시아나항공,국제,일본,일본,FUK,출발,정기,여객,93,21544,156,1391,36949,66648,5847,224182
2025,01,AAR,OZ,아시아나항공,국제,일본,일본,HND,도착,정기,여객,31,4098,5,1718,0,0,0,73309
2025,01,AAR,OZ,아시아나항공,국제,일본,일본,HND,출발,정기,여객,31,4081,10,1833,94,0,0,78867
2025,01,AAR,OZ,아시아나항공,국제,일본,일본,KIX,도착,정기,화물,8,0,0,0,95376,267399,0,0
2025,01,AAR,OZ,아시아나항공,국제,일본,일본,KIX,도착,정기,여객,124,25047,75,3099,139321,186947,0,351824
2025,01,AAR,OZ,아시아나항공,국제,일본,일본,KIX,출발,정기,화물,8,0,0,0,43421,173827,11011,0
2025,01,AAR,OZ,아시아나항공,국제,일본,일본,KIX,출발,정기,여객,124,26029,81,3159,143348,118642,82882,329737
2025,01,AAR,OZ,아시아나항공,국제,일본,일본,KMI,도착,정기,여객,31,3642,6,88,0,0,0,67437
2025,01,AAR,OZ,아시아나항공,국제,일본,일본,KMI,출발,정기,여객,31,4290,6,135,0,0,0,81360
2025,01,AAR,OZ,아시아나항공,국제,일본,일본,KMJ,도착,정기,여객,15,1942,9,18,0,0,0,23295
2025,01,AAR,OZ,아시아나항공,국제,일본,일본,KMJ,출발,정기,여객,15,2332,16,76,0,0,0,24069
2025,01,AAR,OZ,아시아나항공,국제,일본,일본,NGO,도착,정기,여객,62,11368,45,601,32612,77246,0,150364
2025,01,AAR,OZ,아시아나항공,국제,일본,일본,NGO,출발,정기,여객,62,12670,52,998,22949,60237,11164,163260
2025,01,AAR,OZ,아시아나항공,국제,일본,일본,NRT,도착,정기,화물,13,0,0,0,417964,292513,0,0
2025,01,AAR,OZ,아시아나항공,국제,일본,일본,NRT,도착,정기,여객,123,29179,123,6292,345958,70080,40396,503692
2025,01,AAR,OZ,아시아나항공,국제,일본,일본,NRT,출발,정기,화물,13,0,0,0,297153,347133,89970,0
